Population at the beginning of the period across the territory of the Republic of Belarus
persons
        Stolin district;45 to 49 years of age;5006
        Stolin district;50 to 54 years of age;5044
        Stolin district;55 to 59 years of age;4249
        Stolin district;60 to 64 years of age;4073
        Stolin district;65 to 69 years of age;4120
        Stolin district;70 to 74 years of age;3275
        Stolin district;75 to 79 years of age;2237
        Stolin district;80 and over;2686
        Brest, city of;0 to 4 years of age;16221
        Brest, city of;By all age;346061
        Brest, city of;5 to 9 years of age;23291
        Brest, city of;10 to 14 years of age;23399
        Brest, city of;15 to 19 years of age;22555
        Brest, city of;20 to 24 years of age;18076
        Brest, city of;25 to 29 years of age;15957
        Brest, city of;30 to 34 years of age;26554
        Brest, city of;35 to 39 years of age;33228
        Brest, city of;40 to 44 years of age;31028
        Brest, city of;45 to 49 years of age;25127
        Brest, city of;50 to 54 years of age;22137
        Brest, city of;55 to 59 years of age;19236
        Brest, city of;60 to 64 years of age;17142
        Brest, city of;65 to 69 years of age;20234
        Brest, city of;70 to 74 years of age;15088
        Brest, city of;75 to 79 years of age;9436
        Brest, city of;80 and over;7352
        Baranovichy, town of;0 to 4 years of age;7166
        Baranovichy, town of;By all age;170817
        Baranovichy, town of;5 to 9 years of age;10249
        Baranovichy, town of;10 to 14 years of age;10904
        Baranovichy, town of;15 to 19 years of age;9372
        Baranovichy, town of;20 to 24 years of age;8256
        Baranovichy, town of;25 to 29 years of age;9171
        Baranovichy, town of;30 to 34 years of age;10941
        Baranovichy, town of;35 to 39 years of age;13895
        Baranovichy, town of;40 to 44 years of age;12796
        Baranovichy, town of;45 to 49 years of age;11891
        Baranovichy, town of;50 to 54 years of age;12180
        Baranovichy, town of;55 to 59 years of age;11521
        Baranovichy, town of;60 to 64 years of age;12752
        Baranovichy, town of;65 to 69 years of age;11165
        Baranovichy, town of;70 to 74 years of age;8143
        Baranovichy, town of;75 to 79 years of age;6061
        Baranovichy, town of;80 and over;4354
        Pinsk, town of;0 to 4 years of age;5950
        Pinsk, town of;By all age;124008
        Pinsk, town of;5 to 9 years of age;8055
        Pinsk, town of;10 to 14 years of age;8292
        Pinsk, town of;15 to 19 years of age;10021
        Pinsk, town of;20 to 24 years of age;6011
        Pinsk, town of;25 to 29 years of age;7418
        Pinsk, town of;30 to 34 years of age;8578
        Pinsk, town of;35 to 39 years of age;9556
        Pinsk, town of;40 to 44 years of age;9222
        Pinsk, town of;45 to 49 years of age;8742
        Pinsk, town of;50 to 54 years of age;8615
        Pinsk, town of;55 to 59 years of age;7874
        Pinsk, town of;60 to 64 years of age;8986
        Pinsk, town of;65 to 69 years of age;6729
        Pinsk, town of;70 to 74 years of age;4876
        Pinsk, town of;75 to 79 years of age;2922
        Pinsk, town of;80 and over;2161
    Vitebsk region;0 to 4 years of age;39209
    Vitebsk region;By all age;1072063
    Vitebsk region;5 to 9 years of age;54561
    Vitebsk region;10 to 14 years of age;59850
    Vitebsk region;15 to 19 years of age;55795
    Vitebsk region;20 to 24 years of age;51550
    Vitebsk region;25 to 29 years of age;45483
    Vitebsk region;30 to 34 years of age;66238
    Vitebsk region;35 to 39 years of age;87391
    Vitebsk region;40 to 44 years of age;84550
    Vitebsk region;45 to 49 years of age;78853
    Vitebsk region;50 to 54 years of age;78828
    Vitebsk region;55 to 59 years of age;75552
    Vitebsk region;60 to 64 years of age;78746
    Vitebsk region;65 to 69 years of age;79422
    Vitebsk region;70 to 74 years of age;58739
    Vitebsk region;75 to 79 years of age;36675
    Vitebsk region;80 and over;40621
        Beshenkovichy district;0 to 4 years of age;498
        Beshenkovichy district;By all age;13144
        Beshenkovichy district;5 to 9 years of age;686
        Beshenkovichy district;10 to 14 years of age;670
        Beshenkovichy district;15 to 19 years of age;622
