id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,geometry,settlement_key
node/243027487,Колас,Колос,Колас,,Kolas,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.25548 54.3897),Колос
node/243031662,Забалоцкае,Заболотское,Забалоцкае,,Zabalotskae,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2754157 54.3924775),Заболотское
node/243031659,Доўгае,Долгое,Доўгае,,Dougae,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2950982 54.3921702),Долгое
node/243031666,Ярашоўка,Ерошовка,Ярашоўка,,Iarashouka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3033177 54.404322),Ерошовка
node/243031761,Куты,Куты,Куты,,Kuty,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.31221 54.40559),Куты
node/243031777,Кутавец,Кутовец,Кутавец,,Kutavets,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3350219 54.4250438),Кутовец
node/243031703,Ламское,Ломское,Ламское,,Lamskoe,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.38877 54.39949),Ломское
node/243031694,Маляўка,Молявка,Маляўка,,Maliauka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.399914 54.338928),Молявка
node/243031858,Ільяні,Ильяни,Ільяні,,Il'iani,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.412201 54.303959),Ильяни
node/243031863,Навесы,Навесы,Навесы,,Navesy,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3793278 54.3134675),Навесы
node/243031867,Красноўка,Красновка,Красноўка,,Krasnouka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3468285 54.2997181),Красновка
node/243031699,Мачулішча,Мочулище,Мачулішча,,Machulishcha,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3388314 54.3202345),Мочулище
