X,Y,fid,id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,settlement_key
5658788.88507577,3636620.70835934,20844,node/243046006,Чэрнеўка,Черневка,Чэрнеўка,,Cherneuka,village,Belarus,BY006,Mogilev,BY006020,Shklov,Черневка
5656284.328518,3641257.84936234,20847,node/243045982,Васільеўка,Васильевка,Васільеўка,,Vasil'euka,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Васильевка
5665270.22723373,3644639.11013287,20850,node/243046510,Машкова,Мошково,Машкова,,Mashkova,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Мошково
5656054.37185792,3643476.05656732,20852,node/243045983,Кішчыцы,Кищицы,Кішчыцы,,Kishchytsy,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Кищицы
5653487.83973079,3655042.18714526,20859,node/243045969,Гулідаўка,Гулидовка,Гулідаўка,,Gulidauka,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Гулидовка
5656964.51730577,3656555.48599337,20860,node/243045964,Чапялінка,Чепелинка,Чапялінка,,Chapialinka,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Чепелинка
5663564.32118727,3653800.41936956,20863,node/243046555,Балбечына,Болбечино,Балбечына,,Balbechyna,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Болбечино
5663815.09733668,3651288.14229082,20864,node/243046504,Сахараўка,Сахаровка,Сахараўка,,Sakharauka,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Сахаровка
5667754.07985962,3652151.82100364,20865,node/243046516,Ермакі,Ермаки,Ермакі,,Ermaki,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Ермаки
5668105.64112565,3652652.75166694,20866,node/243046517,Галышына,Голышино,Галышына,,Galyshyna,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Голышино
5668391.92702738,3656777.50399837,20867,node/243046560,Азаравічы,Азаровичи,Азаравічы,,Azaravichy,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Азаровичи
5665568.61632653,3655397.53435747,20868,node/243046565,Гошч-Чарны,Гощ-Чарный,Гошч-Чарны,,Goshch-Charny,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Гощ-Чарный
5666702.72015851,3657047.73970084,20873,node/243046553,Тушкава,Тушково,Тушкава,,Tushkava,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Тушково
5669758.86395627,3655300.66556002,20879,node/243046552,Малая Каралёўка,Малая Королёвка,Малая Каралёўка,,Malaia Karaliouka,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Малая Королевка
5671232.73130749,3654001.50900878,20881,node/243046512,Кузавіна,Кузовино,Кузавіна,,Kuzavina,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Кузовино
5671067.95422999,3653672.6767303,20882,node/243046518,Равячына,Ревячино,Равячына,Ravyachyna,Ravyachyna,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Ревячино
5673274.33329432,3651748.06024254,20883,node/243046556,Крукаўшчына,Крюковщина,Крукаўшчына,,Krukaushchyna,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Крюковщина
5672632.09657918,3648681.83756308,20885,node/243046506,Ярыгі,Ярыги,Ярыгі,,Iarygi,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Ярыги
5671652.28270697,3648709.49876611,20886,node/243046505,Гарадзецк,Городецк,Гарадзецк,,Garadzetsk,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Городецк
5671720.64719379,3651524.28995645,20887,node/243046515,Асінаўка,Осиновка,Асінаўка,,Asinauka,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Осиновка
5670051.01848113,3651958.72506704,20888,node/243046513,Язычкава,Язычково,Язычкава,,Iazychkava,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Язычково
5666305.41335309,3650942.71319001,20889,node/243046507,Добрая,Добрая,Добрая,,Dobraia,village,Belarus,BY006,Mogilev,BY006008,Gorki,Добрая
5666192.28878609,3648088.57662402,20890,node/243046503,Рэкатка,Рекотка,Рэкатка,Rekatka,Rekatka,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Рекотка
5670298.48669545,3643620.04433488,20891,node/243046519,Абраімаўка,Абраимовка,Абраімаўка,,Abraimauka,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Абраимовка
