,facility_title,link,settlement,facility_type,facility_type_eng,address,website
3118,Ружанская городская больница,https://healthcare.by/instinfo.php?orgnum=3562,Ружаны,Больница,Hospital,"ул. Урбановича, 12, 225154, г.п. Ружаны, Пружанский р-н, Брестская обл.",
3119,Светиловичская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=4927,Светиловичи,Больница,Hospital,"247124, аг. Светиловичи, Ветковский р-н, Гомельская обл.",
3120,Светлогорская ЦРБ,https://healthcare.by/instinfo.php?orgnum=5274,Светлогорск,Больница,Hospital,"ул. Социалистическая, 73, 247435, г. Светлогорск, Гомельская обл.",http://svetlogorskcrb.partnerinfo.by
3121,Свирская участковая больница,https://healthcare.by/instinfo.php?orgnum=6447,Свирь,Больница,Hospital,"ул. Советская, 111, 222387, г.п. Свирь, Мядельский р-н, Минская обл.",
3122,Свислочская амбулатория,https://healthcare.by/instinfo.php?orgnum=14124,Свислочь,Амбулатория,Outpatient Clinic,"ул. Партизанская, 28, 222890, п. Свислочь, Пуховичский р-н, Минская обл.",
3123,Свислочская ЦРБ,https://healthcare.by/instinfo.php?orgnum=5872,Свислочь,Больница,Hospital,"ул. 17 Сентября, 3, 231969, г. Свислочь, Гродненская обл.",http://sviscrb.by
3124,Святовольская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=11651,Святая Воля,Больница,Hospital,"ул. Шоссейная, 27, д. Святая Воля, Ивацевичский р-н, Брестская обл.",
3125,Святовольская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=26818,Святая Воля,Больница,Hospital,"ул. Шоссейная, 27, д. Святая Воля, Ивацевичский р-н, Брестская обл.",
3126,Селецкая амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=11597,Селец,Амбулатория,Outpatient Clinic,"ул. 1 Мая, 4, 225242, д. Селец, Березовский р-н, Брестская обл.",
3127,Селецкая амбулаторияврача общей практики,https://healthcare.by/instinfo.php?orgnum=15928,Селец,Амбулатория,Outpatient Clinic,"213342, д. Селец, Быховский р-н, Могилевская обл.",
3128,Селищенская амбулатория общей практики,https://healthcare.by/instinfo.php?orgnum=11726,Селище,Амбулатория,Outpatient Clinic,"211542, д. Селище, Городокский р-н, Витебская обл.",
3129,Семежевская участковая больница,https://healthcare.by/instinfo.php?orgnum=11406,Семежево,Больница,Hospital,"ул. Копыльская, 2А, 223932, д. Семежево, Копыльский р-н, Минская обл.",
3130,Сенненская ЦРБ,https://healthcare.by/instinfo.php?orgnum=4334,Сенно,Больница,Hospital,"ул. Октябрьская, 79, 211117, г. Сенно, Витебская обл.",http://sennomed.by
3131,Сестренковская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=4301,Сестренки,Больница,Hospital,"ул. Центральная, 29, 211483, д. Зеленка, Полоцкий р-н, Витебская обл.",http://polmed.by/ru/podrazdeleniya/bolnitsy-sestrinskogo-ukhoda/otdeleniya/sestrenkovskaya-bolnitsa-sestrinskogo-ukhoda
3132,Синкевичская участковая больница,https://healthcare.by/instinfo.php?orgnum=3347,Синкевичи,Больница,Hospital,"ул. Комсомольская, 92, 225686, д. Синкевичи, Лунинецкий р-н, Брестская обл.",
3133,Синявская участковая больница,https://healthcare.by/instinfo.php?orgnum=6289,Синявка,Больница,Hospital,"ул. Школьная, 64, 222652, д. Синявка, Клецкий р-н, Минская обл.",
3134,Ситцевская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=15607,Ситце,Амбулатория,Outpatient Clinic,"ул. Центральная, 52, 211712, д. Ситце, Докшицкий р-н, Витебская обл.",
3135,Скидельская городская больница,https://healthcare.by/instinfo.php?orgnum=5669,Скидель,Больница,Hospital,"ул. Зеленая, 1, 231761, г. Скидель, Гродненская обл.",
3136,Скороднянская БСУ с ВА,https://healthcare.by/instinfo.php?orgnum=4984,Скородное,Амбулатория,Outpatient Clinic,"247820, д. Скородное, Ельский р-н, Гомельская обл.",
3137,Славгородская ЦРБ,https://healthcare.by/instinfo.php?orgnum=7375,Славгород,Больница,Hospital,"ул. Калинина, 27, 213245, г. Славгород, Могилевская обл.",
3138,Славновская сельская врачебная амбулатория,https://healthcare.by/instinfo.php?orgnum=13816,Славное,Амбулатория,Outpatient Clinic,"211070, п. Славное, Толочинский р-н, Витебская обл.",
3139,Слободская УБ,https://healthcare.by/instinfo.php?orgnum=15016,Слобода,Больница,Hospital,"ул. Ленина, 105, 247769, д. Слобода, Мозырский р-н, Гомельская обл.",
3140,Слонимская ЦРБ,https://healthcare.by/instinfo.php?orgnum=5894,Слоним,Больница,Hospital,"ул. Войкова, 51а, 321800, г. Слоним, Гродненская обл.",http://slncrb.by
3141,Слуцкая ЦРБ,https://healthcare.by/instinfo.php?orgnum=6500,Слуцк,Больница,Hospital,"ул. Чайковского, 21, 223610, г. Слуцк, Минская обл.",http://slcrb.by
3142,Смиловичская городская больница,https://healthcare.by/instinfo.php?orgnum=6652,Смиловичи,Больница,Hospital,"ул. Революционная, 20, 223216, г.п. Смиловичи, Червенский р-н, Минская обл.",
3143,Смолевичская ЦРБ,https://healthcare.by/instinfo.php?orgnum=6541,Смолевичи,Больница,Hospital,"ул. Первомайская, 101, 222201, г. Смолевичи, Минская обл.",http://smolcrb.by
3144,Смоловский ФАП,https://healthcare.by/instinfo.php?orgnum=11729,Смоловка,ФАП,FAP,"211553, д. Смоловка, Городокский р-н, Витебская обл.",
3145,Смольянская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=4245,Смольяны,Амбулатория,Outpatient Clinic,"ул. Оршанская, 52, 211014, д. Смольяны, Оршанский р-н, Витебская обл.",
3146,Сморгонская ЦРБ,https://healthcare.by/instinfo.php?orgnum=5944,Сморгонь,Больница,Hospital,"Больничный пер., 13, 231042, г. Сморгонь, Гродненская обл.",http://smorgon-crb.by
3147,Солигорская городская детская больница,https://healthcare.by/instinfo.php?orgnum=6563,Солигорск,Больница,Hospital,"ул. Коржа, 1, 223710, г. Солигорск, Минская обл.",
3148,Солигорская ЦРБ,https://healthcare.by/instinfo.php?orgnum=6558,Солигорск,Больница,Hospital,"ул. Коржа, 1, 223710, г. Солигорск, Минская обл.",http://soligorskcrb.by
3149,Сопоцкинская горпоселковая больница,https://healthcare.by/instinfo.php?orgnum=5665,Сопоцкин,Больница,Hospital,"ул. Яна Павла II, 69, 231733, г.п. Сопоцкин, Гродненский р-н, Гродненская обл.",
3150,Сосновоборская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=16425,Сосновый Бор,Больница,Hospital,"ул. Пионерская, 4, 247400, г.п. Сосновый Бор, Светлогорский р-н, Гомельская обл.",
3151,Старицкая участковая больница,https://healthcare.by/instinfo.php?orgnum=11408,Старица,Больница,Hospital,"223913, д. Старица, Копыльский р-н, Минская обл.",
3152,Старобинская городская больница,https://healthcare.by/instinfo.php?orgnum=6570,Старобин,Больница,Hospital,"ул. Больничная, 7, 223730, г.п. Старобин, Солигорский р-н, Минская обл.",
3153,Стародорожская ЦРБ,https://healthcare.by/instinfo.php?orgnum=6595,Старые Дороги,Больница,Hospital,"ул. Московская, 82, 222932, г. Старые Дороги, Минская обл.",http://starcrb.by
3154,Старосельская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=13682,Старое Село,Амбулатория,Outpatient Clinic,"ул. Полоцкая, 38, 211240, д. Старое Село, Витебский р-н, Витебская обл.",
3155,Старосельская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=13626,Староселье,Амбулатория,Outpatient Clinic,"ул. Оршанская, 36а, 213026, д. Староселье, Шкловский р-н, Могилевская обл.",
3156,Столбцовская ЦРБ,https://healthcare.by/instinfo.php?orgnum=6611,Столбцы,Больница,Hospital,"ул. Ленинская, 164, 222666, г. Столбцы, Минская обл.",http://scrb.by
