adm2_pcode,district,adm1_pcode,region,center_lat,center_lon,settlements,over_3km,over_8km,over_13km,mean_distance,median_distance,max_distance,pct_over_3km,pct_over_8km,pct_over_13km,district_match,population_total,population_65plus,pct_65plus,salary
BY006010,Kirovsk,BY006,Mogilev,53.32235718,29.55254964,130,72,1,0,3.45,3.4,8.1,55.4,0.8,0.0,Kirovsk,16666,3721,22.3,2018.8
BY006011,Klichev,BY006,Mogilev,53.46235657,29.21237448,170,101,2,0,3.79,3.53,8.5,59.4,1.2,0.0,Klichev,13324,2894,21.7,2060.0
BY006012,Klimovichi,BY006,Mogilev,53.62290944,32.07921729,167,115,9,0,4.51,4.5,10.61,68.9,5.4,0.0,Klimovichy,21605,4141,19.2,1953.3
BY006013,Kostyukovichi,BY006,Mogilev,53.29903412,32.06748725,139,84,6,0,3.7,3.57,9.22,60.4,4.3,0.0,Kostyukovichy,20904,3450,16.5,2187.2
BY006014,Krasnopole,BY006,Mogilev,53.28634644,31.45860164,143,86,12,0,4.33,3.58,11.47,60.1,8.4,0.0,Krasnopolye,8526,1480,17.4,1844.8
BY006015,Krichev,BY006,Mogilev,53.73050499,31.68750327,96,41,0,0,2.55,2.52,5.98,42.7,0.0,0.0,Krichev,27335,5147,18.8,2123.2
BY006016,Krugloe,BY006,Mogilev,54.17276382,29.63422268,139,85,1,0,3.5,3.42,8.99,61.2,0.7,0.0,Krugloyе,12247,2549,20.8,1940.3
BY006017,Mogilev,BY006,Mogilev,53.83962822,30.21449415,291,125,0,0,2.66,2.66,7.7,43.0,0.0,0.0,Mogilev,39163,8182,20.9,2533.8
BY006018,Mstislav,BY006,Mogilev,54.026855,31.56096394,180,125,4,0,3.82,3.97,8.87,69.4,2.2,0.0,Mstislavl,17910,3664,20.5,1913.1
BY006019,Osipovichi,BY006,Mogilev,53.32467842,28.71032798,154,79,3,0,3.44,3.13,8.52,51.3,1.9,0.0,Osipovichy,42663,8737,20.5,2296.2
BY006020,Shklov,BY006,Mogilev,54.17276382,30.26380364,252,131,1,0,3.16,3.09,8.06,52.0,0.4,0.0,Shklov,23761,4424,18.6,2401.0
BY006021,Slavgorod,BY006,Mogilev,53.48688698,30.96780651,77,46,5,0,3.73,3.53,9.07,59.7,6.5,0.0,Slavgorod,11904,2209,18.6,1862.2
BY007001,Beshenkovichi,BY007,Vitebsk,54.9756527,29.32445017,261,160,3,0,3.55,3.51,8.98,61.3,1.1,0.0,Beshenkovichy,13144,3304,25.1,1979.1
BY007002,Braslav,BY007,Vitebsk,55.54332447,26.86888485,378,215,26,0,3.85,3.4,12.89,56.9,6.9,0.0,Braslav,22764,4893,21.5,1898.7
BY007003,Chashniki,BY007,Vitebsk,54.76570129,29.0386844,154,99,2,0,3.84,3.83,9.25,64.3,1.3,0.0,Chashniki,25810,5856,22.7,2288.2
BY007004,Dokshitsy,BY007,Vitebsk,54.79744148,27.91630885,188,114,8,0,3.73,3.5,10.25,60.6,4.3,0.0,Dokshitsy,20041,4593,22.9,2060.7
BY007005,Dubrovno,BY007,Vitebsk,54.61009547,30.78599188,180,115,18,0,4.19,3.89,11.25,63.9,10.0,0.0,Dubrovno,12986,2975,22.9,2122.0
BY007006,Glubokoe,BY007,Vitebsk,55.10981941,27.73816208,435,257,18,0,3.71,3.43,12.05,59.1,4.1,0.0,Glubokoye,32870,7005,21.3,2101.1
BY007007,Gorodok,BY007,Vitebsk,55.57236456,30.04251489,381,281,73,1,5.23,5.0,13.12,73.8,19.2,0.3,Gorodok,19954,4879,24.5,1930.8
BY007008,Lepel,BY007,Vitebsk,54.80079842,28.54721809,157,104,22,0,4.66,4.25,12.34,66.2,14.0,0.0,Lepel,29856,6090,20.4,2151.4
BY007009,Liozno,BY007,Vitebsk,55.01231064,30.5566894,270,195,24,2,4.69,4.54,14.15,72.2,8.9,0.7,Liozno,14494,3556,24.5,1987.8
BY007010,Miory,BY007,Vitebsk,55.5438118,27.58993934,558,327,3,0,3.42,3.4,9.08,58.6,0.5,0.0,Miory,17075,3904,22.9,1869.8
BY007011,Orsha,BY007,Vitebsk,54.54936409,30.11779418,263,133,0,0,3.08,3.01,7.35,50.6,0.0,0.0,Orsha,139546,28258,20.2,2209.3
BY007012,Polotsk,BY007,Vitebsk,55.46699905,28.72304845,466,244,11,0,3.44,3.23,9.84,52.4,2.4,0.0,Polotsk,98999,17327,17.5,2228.3
BY007013,Postavy,BY007,Vitebsk,55.09577,26.76056133,360,173,5,0,3.12,2.93,9.32,48.1,1.4,0.0,Postavy,31043,6679,21.5,2075.8
BY007014,Rossony,BY007,Vitebsk,55.82990533,28.78921842,227,184,52,7,5.8,5.55,19.17,81.1,22.9,3.1,Rossony,8050,2013,25.0,1830.0
BY007015,Senno,BY007,Vitebsk,54.75360489,29.69911492,350,243,14,0,3.9,3.77,10.58,69.4,4.0,0.0,Senno,18132,4732,26.1,2002.5
BY007016,Sharkovschina,BY007,Vitebsk,55.32752991,27.39282035,243,98,2,0,2.78,2.48,8.69,40.3,0.8,0.0,Sharkovshchina,12653,3079,24.3,1751.3
BY007017,Shumilino,BY007,Vitebsk,55.27621841,29.25725059,261,190,28,1,4.78,4.69,13.64,72.8,10.7,0.4,Shumilino,15774,3568,22.6,1927.0
BY007018,Tolochin,BY007,Vitebsk,54.40878105,29.73442823,240,157,12,0,4.06,3.95,8.57,65.4,5.0,0.0,Tolochin,21292,4864,22.8,2038.7
BY007019,Ushachi,BY007,Vitebsk,55.06450462,28.5374837,150,92,3,0,3.52,3.62,9.21,61.3,2.0,0.0,Ushachy,11283,2923,25.9,1852.9
BY007020,Verhnedvinsk,BY007,Vitebsk,55.82306862,27.90683621,271,166,21,0,3.92,3.62,12.21,61.3,7.7,0.0,Verkhnedvinsk,18305,4248,23.2,2215.6
BY007021,Vitebsk,BY007,Vitebsk,55.24327087,30.16200882,430,252,36,2,4.02,3.49,16.05,58.6,8.4,0.5,Vitebsk,33695,7628,22.6,2234.3
